,281-Control,280-Control,255-Control,288-Control,256-MI,276-MI,253-MI,275-MI
Vom2r3,0,0,0,0,0,0,0,0
Vom2r2,0,0,0,0,0,0,0,0
Vom2r5,0,0,0,0,0,0,0,0
Vom2r6,1,2,0,0,0,1,0,0
Raet1l,3,1,1,2,1,0,0,1
LOC679825,4,1,4,0,4,2,1,2
Lrp11,572,340,252,115,401,213,291,231
Pcmt1,15363,10191,8442,4972,10206,5446,9582,7042
Nup43,542,317,348,205,362,217,430,243
Lats1,459,345,301,145,343,183,324,226
Katna1,588,294,319,191,398,200,379,312
Ppil4,1190,735,649,359,746,482,811,519
Zc3h12d,95,16,8,9,12,8,16,11
Tab2,1706,1212,779,457,948,552,980,726
Ust,7,1,2,2,5,1,3,2
Samd5,7,0,2,0,3,1,8,7
Stxbp5,150,79,67,33,77,52,61,58
Rab32,386,156,115,55,170,93,107,108
Grm1,3,0,0,0,2,1,0,1
Shprh,670,373,378,202,389,230,399,289
Fbxo30,773,383,427,293,667,330,478,348
Utrn,919,553,391,309,555,322,429,385
Stx11,40,17,15,8,19,27,14,30
Sf3b5,756,431,451,263,506,294,572,389
Plagl1,56,29,43,94,79,27,59,82
Zc2hc1b,0,0,0,1,0,0,1,0
Ltv1,1190,897,760,473,924,437,876,650
Phactr2,157,72,73,48,91,53,88,64
Fuca2,870,517,509,292,532,300,445,358
Pex3,1062,667,549,350,650,366,815,390
Adat2,122,48,40,31,56,31,53,17
Aig1,325,119,195,158,196,143,254,150
Hivep2,1085,747,584,349,688,290,744,563
Vta1,1173,807,771,380,849,512,884,610
Gje1,0,0,1,0,0,0,0,0
Nmbr,1,1,0,0,0,1,1,0
Olr905,0,0,0,0,0,0,0,0
Rn5-8s,0,0,0,0,0,0,0,0
LOC310926,133,98,15,21,53,14,17,30
Cited2,655,381,422,161,540,336,440,314
Txlnb,23107,16596,14597,8177,17526,9093,16509,12244
Heca,2599,1762,1315,801,1783,1012,1892,1170
Abracl,245,122,70,59,85,66,135,77
Reps1,103,66,39,28,53,36,69,48
Ccdc28a,464,269,288,150,282,194,249,209
Hebp2,22,14,6,9,8,5,13,10
Perp,88,48,37,45,12,63,71,49
Olig3,0,0,0,0,0,0,0,0
Ifngr1,2284,1238,1029,522,1270,728,1062,809
Il22ra2,10,11,10,2,6,8,2,6
Il20ra,0,0,0,0,0,0,0,0
Slc35d3,0,0,0,0,0,0,0,0
Pex7,492,89,204,158,242,78,226,212
Map7,162,113,86,43,58,47,83,74
Bclaf1,3024,1730,1630,932,2045,1171,1869,1409
Pde7b,151,103,132,56,142,71,86,106
Hbs1l,7640,5210,4097,2031,4823,2115,3928,3158
Aldh8a1,16,11,4,6,16,2,13,4
Ptprk,275,117,148,85,174,91,156,140
Ahi1,233,138,104,68,149,75,114,102
Arhgap18,687,514,394,291,428,288,587,373
Samd3,6,1,1,1,0,1,0,0
Tmem200a,10,1,0,2,2,0,6,1
Smlr1,0,0,1,0,0,0,0,0
Akap7,37,32,14,18,27,15,31,19
Ccnb2,33,7,8,6,8,5,5,6
Arg1,73,51,40,19,7,18,53,22
Enpp3,344,239,182,182,308,174,295,175
Enpp1,292,274,200,103,396,179,305,219
Ctgf,1053,640,555,344,682,424,786,372
Stx7,679,434,452,205,587,297,600,409
Taar9,0,0,0,0,0,0,0,0
Taar8c,0,0,0,0,0,0,0,0
Taar8a,0,0,0,0,0,0,0,0
Taar7h,0,0,0,0,0,0,0,0
Taar7g,0,0,0,0,0,0,0,0
Taar7e,0,0,0,0,0,0,0,0
Taar7d,0,0,0,0,0,0,0,0
Taar7c,0,0,0,0,0,0,0,0
Taar7b,0,0,0,0,0,0,0,0
Taar7a,0,0,0,0,0,0,0,0
Taar6,0,0,0,0,0,0,0,0
Taar5,0,0,0,0,0,0,0,0
Taar4,3,3,0,1,2,0,1,0
Taar3,0,0,0,0,0,0,0,0
Taar2,0,0,0,0,0,0,0,0
Taar1,0,0,0,0,0,0,0,0
Vnn1,545,298,225,224,202,234,387,175
Vnn3,0,0,0,0,1,2,0,1
Rps12,402,263,205,110,219,194,323,202
Eya4,442,274,191,142,275,126,297,224
Taar8b,0,0,0,0,0,0,0,0
Tcf21,0,1,1,0,0,0,0,0
Tbpl1,1165,754,617,387,752,438,873,582
Slc2a12,666,464,392,204,367,199,374,319
Sgk1,1925,1300,816,519,954,459,1412,1062
Clvs2,0,0,0,0,0,0,0,0
Trdn,61721,53364,50508,22228,48287,26483,56100,35604
Rnf217,648,434,403,251,519,320,630,362
Tpd52l1,682,388,457,216,349,242,241,284
Hddc2,469,276,275,127,347,172,276,241
Hey2,255,180,212,122,156,97,330,127
Hint3,1859,1514,1224,627,1450,856,1842,1198
Trmt11,217,154,126,73,196,79,159,115
Cenpw,13,3,3,4,7,1,4,4
Rspo3,230,57,134,83,118,64,49,78
Rnf146,6454,4255,3706,1887,4547,2288,4110,2832
Echdc1,3312,2251,1814,1111,2178,1284,2379,1609
LOC292199,1614,1475,774,372,1387,776,1043,768
Mrpl36,0,0,0,0,0,0,0,0
Lrrc14b,3194,2162,2109,1174,2296,1177,2122,1498
Ccdc127,2021,1446,1174,635,1471,769,1716,870
Sdha,52824,32076,28598,17570,33837,17862,25733,27074
Pdcd6,1545,887,899,478,954,608,1167,682
Ahrr,3,5,1,0,5,1,2,1
Exoc3,2075,1399,1305,734,1518,651,1236,972
Slc9a3,0,0,1,1,1,0,3,1
Tppp,118,88,46,36,97,14,61,67
Zdhhc11,1,0,1,0,0,0,0,0
Brd9,801,526,499,306,485,254,493,376
Trip13,16,8,14,4,3,0,3,4
Nkd2,32,22,9,8,12,7,11,11
Slc12a7,354,149,167,98,237,107,144,94
Slc6a19,5,1,1,0,0,3,0,1
Slc6a18,1,0,1,0,0,0,0,0
Tert,12,2,3,0,2,3,6,4
Clptm1l,477,279,249,147,313,184,285,220
Slc6a3,0,0,0,0,0,0,0,0
Lpcat1,73,40,37,34,41,22,20,18
Irx4,0,0,0,0,0,0,0,0
Irx2,2,1,0,1,2,2,3,0
Irx1,1,0,0,0,0,0,0,0
Med10,441,305,238,143,294,151,311,178
Ube2ql1,148,97,74,52,167,87,104,59
Nsun2,1780,538,786,508,1081,314,689,799
Srd5a1,66,49,36,21,57,27,34,17
Papd7,295,140,140,75,156,92,174,122
Adcy2,847,600,403,199,582,344,482,453
Fastkd3,613,376,371,190,447,228,384,317
Mtrr,2138,1524,1315,682,1505,810,1406,1023
LOC680200,179,114,100,51,105,82,130,80
Mir29b-2,0,0,0,0,0,0,0,0
Mir3556b,0,0,0,0,0,0,0,0
Mir29c,0,0,0,0,0,0,0,0
Ppp1r14c,155,54,48,50,80,26,51,80
Iyd,0,0,0,0,0,0,0,0
Plekhg1,201,85,57,43,90,41,69,64
Mthfd1l,42,37,24,20,29,13,30,17
Akap12,1023,671,469,419,536,336,566,518
Zbtb2,172,65,71,48,105,34,72,68
Rmnd1,1659,978,922,516,1120,595,1087,737
RGD1305235,2216,1387,1418,760,1543,834,1525,954
Esr1,42,28,25,29,40,21,29,37
Myct1,245,167,158,82,197,106,162,143
Vip,2,1,0,0,0,5,0,0
Fbxo5,26,13,11,10,12,19,15,20
Mtrf1l,112,49,53,23,53,26,59,48
Rgs17,8,6,5,1,7,1,3,2
Oprm1,0,0,0,0,0,0,0,0
Ipcef1,4,3,0,0,0,1,2,2
Cnksr3,95,41,41,31,33,32,56,35
Scaf8,696,430,405,186,471,266,439,302
Tfb1m,385,273,248,124,290,144,246,169
Cldn20,8,2,2,2,4,0,1,0
Nox3,0,0,0,0,0,0,0,0
C1H6orf35,972,584,656,274,653,347,560,443
Ldhal6b,2,0,0,0,0,0,1,0
Zdhhc14,26,24,13,15,25,7,29,18
Snx9,420,244,223,124,253,139,182,160
Synj2,467,209,373,161,464,175,184,141
Gtf2h5,1508,971,922,582,1046,622,1368,851
Tulp4,178,102,62,45,107,35,61,74
Tmem181,352,145,128,71,153,67,139,136
Dynlt1,400,247,174,149,291,140,295,242
Sytl3,27,16,12,5,15,8,9,16
Ezr,784,218,169,323,112,207,248,179
Fndc1,360,295,236,214,199,108,223,144
Pacrg,268,156,267,71,178,105,118,151
Park2,603,397,292,179,382,167,232,314
Agpat4,207,160,99,91,109,78,103,89
Map3k4,799,477,384,253,479,232,422,385
Plg,4,4,7,1,6,1,4,6
Slc22a3,111,44,25,15,40,22,23,36
Slc22a2,0,0,0,1,1,0,0,0
Slc22a1,1,0,1,3,0,0,0,0
Igf2r,1975,1522,1182,716,1356,682,1315,977
Mas1,60,29,20,11,36,20,24,35
Mrgprh,8,5,9,4,4,4,6,1
Pnldc1,13,5,8,2,4,6,4,3
Mrpl18,3303,2134,2076,1233,2155,1177,2985,1676
Tcp1,4477,3173,2651,1531,3064,1660,3060,2277
Acat3,65,46,49,22,37,24,42,38
Wtap,1206,470,525,388,822,322,708,555
Sod2,40453,22362,20100,11518,27062,13392,21253,18514
Qk,358,217,212,105,299,169,229,191
Pabpc6,3,2,0,0,2,3,3,1
MGC94891,0,0,0,0,0,0,0,0
Pde10a,64,36,44,31,44,14,24,24
T,0,0,0,0,0,0,0,0
T2,1,0,0,0,0,0,0,1
Prr18,0,0,0,0,0,0,0,0
Sft2d1,893,540,523,328,610,355,663,442
Mpc1,35385,19172,21598,10807,26450,14603,24177,17629
Ccr6,27,0,5,3,3,3,4,2
LOC683722,419,272,193,112,236,93,231,169
Rnaset2,1249,529,641,412,691,380,786,676
Rps6ka2,2252,1684,1017,718,1409,698,990,951
Gpr31,0,0,0,0,1,0,0,0
Tcp10b,0,0,0,1,0,0,0,0
Ttll2,0,0,0,0,0,0,0,0
Mllt4,1253,693,617,321,783,489,654,558
Smok2a,1,0,0,0,0,0,0,0
Vom2r7,0,0,0,0,0,0,0,0
Vom2r9,0,0,0,0,0,0,0,0
Dact2,49,12,15,9,10,11,15,17
Smoc2,619,367,322,259,375,153,352,255
Thbs2,500,288,329,159,248,176,198,136
LOC100125364,1165,722,571,353,712,396,774,577
Phf10,272,162,133,62,168,86,143,102
Tcte3,2,2,1,1,3,0,2,2
Psmb1,5470,3396,3064,1833,3686,2262,4209,3009
Tbp,588,391,353,189,434,285,423,277
Pdcd2,295,66,86,63,188,50,113,127
Prdm9,57,46,23,32,26,15,14,23
Chd1,573,342,325,152,462,242,337,254
Riok2,2160,1380,1264,664,1450,803,1367,915
Lix1,3,1,5,0,6,4,4,12
Lnpep,195,88,101,58,115,65,135,83
Mir99b,0,0,0,0,0,0,0,0
Mir3596c,0,0,0,0,0,0,0,0
Mirlet7e,0,0,0,0,0,0,0,0
Mir125a,1,0,0,0,0,0,0,0
LOC688452,58,23,37,10,26,12,28,21
Has1,8,11,4,5,6,5,1,5
Fpr1,1,0,0,0,0,0,0,3
Fpr-rs3,0,0,0,0,0,0,0,0
Vom1r6,0,0,0,0,0,0,0,0
Vom1r7,0,0,0,0,0,0,0,0
Vom1r8,0,0,0,0,0,0,0,0
Vom1r13,0,0,0,0,0,0,0,0
Vom1r14,0,0,0,0,0,0,0,0
Vom1r9,0,0,0,0,0,0,0,0
Vom1r10,0,0,0,0,0,0,0,0
Vom1r12,0,0,0,0,0,0,0,0
Vom1r11,0,0,0,0,0,0,0,0
Vom1r15,0,0,0,0,0,0,0,0
Ppp2r1a,5460,3790,3345,2165,4288,1824,3527,2708
Vom1r19,0,0,0,0,0,0,0,0
Vom1r20,0,0,0,0,0,0,0,0
V1rf4,0,0,0,0,0,0,0,0
Vom1r17,0,0,0,0,0,0,0,0
Vom1r16,0,0,0,0,0,0,0,0
Zfp53,200,86,105,47,138,101,152,110
Zfp52,81,63,46,22,57,31,58,47
Vom1r22,0,0,0,1,0,0,0,0
Lilrb3l,69,49,26,10,24,19,28,15
Rps9,0,0,0,0,0,0,0,0
Tsen34,0,0,0,0,0,0,0,0
Mboat7,0,0,0,0,0,0,0,0
Tmc4,3,1,0,1,1,3,2,0
Leng1,247,116,114,78,160,76,103,93
Cnot3,105,64,44,30,57,29,56,39
Mir3572,0,0,0,0,0,0,0,0
Prpf31,197,126,102,75,140,50,120,92
Tfpt,168,74,69,57,102,60,78,69
Oscar,2,0,0,1,0,2,0,5
Cacng6,535,425,294,206,338,137,294,318
Cacng8,0,0,1,0,0,1,1,0
Mir935,0,0,0,0,0,0,0,0
Cacng7,6,2,1,0,3,0,1,1
Prkcg,28,11,16,19,8,6,25,11
Myadm,1383,941,665,640,893,498,963,725
Olr1l,0,0,0,0,0,0,0,0
Olr386,0,0,0,0,0,0,0,0
Nlrp12,0,1,4,0,1,1,0,2
Mir295-2,0,0,0,0,0,0,0,0
Mir295-1,0,0,0,0,0,0,0,0
Mir294,0,0,0,0,0,0,0,0
Mir293,0,0,0,0,0,0,0,0
Mir291b,0,0,0,0,0,0,0,0
Mir292,0,0,0,0,0,0,0,0
Mir291a,0,0,0,0,0,0,0,0
Mir290,0,0,0,1,0,0,0,0
LOC292543,0,0,0,0,1,0,0,0
Vom2r27,0,0,0,0,0,0,0,0
Zfp51,210,135,145,66,130,67,139,79
Vom1r23,0,0,0,0,0,0,0,0
Vom2r12,0,0,0,0,0,0,0,0
Vom2r13,0,0,0,0,0,0,0,0
Vom2r80,1,1,2,0,1,1,3,0
Zfp40,136,76,53,46,75,85,85,74
Vom2r15,0,0,0,0,0,0,0,0
Vom2r16,1,1,0,0,0,1,3,2
Vom2r17,1,1,0,0,0,0,0,0
Vom2r19,0,0,0,0,0,0,0,0
Mzf1,32,13,6,6,18,8,6,12
Ube2m,569,345,363,176,381,189,396,275
Chmp2a,1889,1187,1116,604,1202,782,1327,945
Trim28,700,427,405,241,500,257,420,316
Zbtb45,143,32,52,58,68,26,39,48
Slc27a5,1,3,4,1,4,0,3,3
RGD1561909,1,0,0,0,0,0,1,0
Rps5,2285,1519,1263,757,1450,884,1777,1175
Zfp110,2051,1513,1156,543,1247,778,1218,788
Zfp329,150,72,76,32,97,60,88,47
Vom2r36,0,0,0,0,0,0,0,0
Vom2r33,0,0,0,0,0,0,0,0
Vom2r35,0,0,0,0,0,0,0,0
Vom2r34,0,0,0,0,0,0,0,0
Vom1r54,0,0,0,0,0,0,0,0
Vom1r53,0,0,0,0,0,0,0,0
Vom1r56,0,0,0,0,0,0,0,0
Vom1r57,0,0,0,0,0,0,0,0
Vom1r52,0,0,0,0,0,0,0,0
Vom1r51,0,0,0,0,0,0,0,0
Vom1r48,0,0,0,0,0,0,0,0
Vom1r49,0,0,0,0,0,0,0,0
Vom1r47,0,0,0,0,0,0,0,0
Vom1r46,0,0,0,0,0,0,0,0
Vom1r45,0,0,0,0,0,0,0,0
Vom1r44,0,0,0,0,0,0,0,0
Vom1r43,0,0,0,0,0,0,0,0
Vom1r42,0,0,0,0,0,0,0,0
Sbk1,268,161,151,103,258,80,160,145
Vom1r40,0,0,0,0,0,0,0,0
Vom1r41,0,0,0,0,0,0,0,0
Vom2r32,0,0,0,0,0,0,0,0
Vom2r78,0,0,0,0,0,0,0,0
Vom1r28,0,0,0,0,0,0,0,0
Vom1r29,0,0,0,0,0,0,0,0
Vom1r-ps39,0,0,0,0,0,0,0,0
Vom1r27,0,0,0,0,0,0,0,0
Vom1r63,0,0,0,0,0,0,0,0
V1re18,0,0,0,0,0,0,0,0
Vom1r30,0,0,0,0,0,0,0,0
Vom2r26,1,0,0,0,0,0,0,0
Lilrc2,3,3,0,1,3,1,1,2
Lilrb3,11,16,6,4,6,6,6,8
Nlrp4a,0,0,0,0,0,0,0,0
Vom2r28,0,0,0,0,0,0,0,0
Zfp418,19,19,14,10,21,9,17,11
Zfp978,100,63,49,28,66,31,71,52
Hiat1,0,0,0,0,0,0,0,0
Zfp772,345,241,202,107,223,138,232,171
Aurkc,79,43,49,36,53,23,61,30
Usp29,142,105,64,46,55,41,100,42
Zim1,123,72,92,40,88,56,87,73
Olr3,0,0,0,0,0,0,0,0
Olr4,0,0,0,0,0,0,0,0
Olr5,0,0,0,0,0,0,0,0
Olr6,0,0,0,0,0,0,0,0
Olr7,0,0,0,0,0,0,0,0
Olr8,0,0,0,0,0,0,0,0
Smim17,0,0,0,0,1,0,0,0
Zfp583,65,52,27,25,52,32,31,38
Zfp667,1056,575,484,256,616,304,552,448
Galp,1,0,0,0,0,0,0,0
Zfp444,79,19,21,11,27,13,17,24
Zfp787,82,53,41,32,46,24,51,38
Nlrp5,2,0,2,1,0,1,4,1
Vom2r71,0,0,0,0,0,0,0,0
Nlrp4,0,0,0,0,0,0,0,0
Vom1r32,0,0,0,0,0,0,0,0
Nlrp9,0,0,0,0,0,0,0,0
Vom1r34,0,0,0,0,0,0,0,0
Vom2r31,0,0,0,0,0,0,0,0
Vom2r30,0,0,0,0,0,0,0,0
Vom2r29,0,0,0,0,0,0,0,0
Lair1,3,1,0,0,3,0,3,1
Ttyh1,109,58,62,58,80,20,73,61
Leng8,1456,790,749,486,942,427,669,670
Cdc42ep5,37,31,18,24,28,18,39,27
Lilra5,62,34,11,12,28,11,23,29
Lilrb4,89,12,11,9,30,25,14,28
Kir3dl1,0,1,0,0,0,0,3,0
Fcar,1,0,1,0,0,1,1,1
Ncr1,10,2,0,1,1,7,3,3
Rdh13,522,353,257,138,337,133,254,167
Eps8l1,7,2,1,3,1,1,4,1
Ppp1r12c,190,127,104,56,102,61,106,61
Tnnt1,89966,58824,70280,43556,72308,35864,68834,49087
Tnni3,262,93,280,146,207,92,152,122
Dnaaf3,2,2,0,1,0,0,0,0
Syt5,15,7,5,4,13,12,2,5
Ptprh,0,0,1,0,0,0,0,0
Tmem86b,14,10,8,1,18,8,15,12
Ppp6r1,266,181,149,90,182,86,146,113
Hspbp1,611,370,276,183,360,163,238,291
Brsk1,7,2,5,3,10,2,1,2
Tmem150b,16,9,3,0,8,5,6,4
Suv420h2,145,105,103,62,88,49,74,66
Cox6b2,33,10,9,22,5,6,16,6
Fam71e2,0,0,0,0,0,0,0,0
Il11,3,2,1,1,1,1,1,1
Rpl28,919,575,506,346,569,344,735,493
Ube2s,598,155,214,137,304,73,204,220
Shisa7,9,3,2,0,5,0,2,1
Isoc2b,965,449,477,249,582,307,542,424
Nat14,38,45,18,6,34,14,28,23
Ssc5d,54,18,29,17,29,20,22,32
Sbk2,770,794,1050,930,673,253,981,303
Zfp579,31,16,18,13,18,7,29,9
Fiz1,150,95,74,54,138,63,87,78
Zfp524,347,184,184,96,240,69,172,148
Zfp865,312,144,171,132,186,103,175,127
Epn1,369,222,186,117,278,114,182,156
Rfpl4a,0,0,0,0,1,0,0,0
Rasl2-9,4,1,1,3,1,2,3,1
Vom1r38,0,0,0,0,0,0,0,0
Vom1r37,0,0,0,0,0,0,0,0
Vom1r36,0,0,0,0,0,0,0,0
Vom1r35,0,0,0,0,0,0,0,0
Vom1r58,0,0,0,0,0,0,0,0
Vom1r59,0,0,0,0,0,0,0,0
Vom1r60,0,0,0,0,0,0,0,0
Vom1r61,0,0,0,0,0,0,0,0
Vom1r62,0,0,0,0,0,0,0,0
Lig1,131,82,86,56,84,38,103,61
Pla2g4c,0,0,0,0,0,0,0,1
Cabp5,0,0,0,0,0,0,0,0
Sult2a2,0,0,0,0,0,0,0,0
Sult2a6,0,0,0,0,0,0,0,0
Sult2a1,0,0,0,0,0,0,0,0
Sepw1,0,0,0,0,0,0,0,0
Crx,0,0,0,0,0,0,0,0
Gltscr2,725,374,330,213,461,173,249,317
Ehd2,2586,1690,1266,734,1724,948,1115,1069
Gltscr1,195,78,96,66,109,55,90,81
Napa,5805,4277,3566,2048,4170,2126,4391,3102
Kptn,78,49,37,28,44,27,33,36
Slc8a2,1,1,0,1,1,0,0,0
Meis3,27,14,27,7,15,8,15,11
LOC684903,77,45,35,28,54,26,29,31
Gpr77,45,11,7,11,7,7,9,11
C5ar1,337,162,62,63,118,90,127,122
LOC100192314,21,14,14,9,13,8,25,14
Bbc3,5,2,3,1,7,4,5,2
Sae1,1177,726,556,331,602,303,567,450
Tmem160,73,17,30,18,67,18,24,29
Npas1,7,3,3,3,0,0,0,3
Arhgap35,434,240,188,134,282,127,222,245
Ceacam9,1,0,0,0,0,0,0,0
Ap2s1,653,358,312,223,423,191,427,334
Slc1a5,153,66,47,28,47,58,59,59
Fkrp,312,169,147,109,230,82,169,150
Strn4,215,87,100,67,128,63,82,87
Prkd2,108,43,37,33,56,26,37,33
Dact3,10,3,3,2,4,4,2,4
Gng8,11,8,8,3,3,1,4,4
Ptgir,16,14,7,3,6,4,3,7
Calm3,2332,1226,1154,627,1414,572,996,1171
Pnmal2,62,25,15,40,25,11,30,35
Pnmal1,0,0,0,0,0,0,1,0
Ccdc8,579,339,223,246,278,118,182,249
Ppp5c,2165,1019,925,633,1206,466,651,863
Hif3a,12,0,0,0,1,0,0,0
Cgm4,0,0,0,0,0,0,0,0
Psg16,0,0,0,0,0,0,0,0
Ceacam3,0,0,0,0,0,0,0,0
Psgb1,0,0,0,0,0,0,0,0
Psg29,0,0,0,0,0,0,0,0
Ceacam11,0,0,0,0,0,0,0,0
Igfl3,0,0,0,0,0,0,0,0
Mill1,91,50,28,15,69,19,38,23
Psg19,0,0,0,0,0,0,0,0
Micb,13,8,6,4,4,10,7,2
Pglyrp1,5,6,2,3,2,1,3,5
Ccdc61,33,16,19,17,14,8,11,15
Nanos2,0,0,0,0,0,0,0,0
Mypop,27,19,13,12,15,5,18,11
Irf2bp1,139,58,65,55,63,50,63,54
Foxa3,1,0,1,0,0,0,0,0
Sympk,507,186,186,159,215,92,121,218
Rsph6a,1,0,1,1,0,0,0,0
Fbxo46,133,67,53,42,59,25,30,49
Qpctl,128,59,56,39,74,41,38,32
Snrpd2,280,136,153,97,166,96,196,151
Gipr,8,1,2,1,3,2,1,1
Eml2,238,170,121,85,149,56,109,103
Mir330,1,0,0,0,1,0,0,0
Gpr4,82,44,35,24,45,17,41,24
Opa3,309,195,170,59,220,82,126,116
Vasp,208,86,80,48,118,64,79,72
Ppm1n,8,0,1,1,3,0,5,1
Rtn2,4892,3643,3145,1716,3521,1714,3987,3065
LOC100360880,42,13,14,5,4,2,13,12
Ercc1,625,405,393,207,417,214,418,333
Cd3eap,201,94,90,57,108,43,75,91
Ercc2,45,25,27,13,26,11,17,14
Mir343,0,0,0,0,0,0,0,0
Klc3,1,2,6,2,2,0,1,2
Ckm,783346,581568,446618,259768,417219,231211,484853,471395
Mark4,54,23,20,17,27,11,20,19
Trappc6a,242,167,144,78,151,85,152,115
Ppp1r37,227,102,93,82,143,33,49,98
Gemin7,108,81,66,33,74,36,100,45
Clasrp,148,65,92,45,97,41,68,71
Clptm1,1363,700,654,426,769,390,584,593
Apoc2,0,0,0,0,0,0,0,0
Apoc4,0,0,0,0,0,0,0,0
Apoc1,2,0,3,2,0,0,1,0
Apoe,5486,2164,1770,1489,1660,1249,2233,1434
Tomm40,644,98,240,196,366,74,174,263
Pvrl2,119,59,57,45,48,25,40,36
Bcam,859,507,418,340,603,242,351,382
Cblc,54,25,33,12,43,19,25,24
Bcl3,36,18,11,11,13,5,9,12
Ceacam16,13,1,0,3,4,1,1,0
Ceacam19,0,0,0,0,0,0,0,0
PVR,157,157,74,49,118,49,112,73
Ceacam20,0,0,0,0,0,0,0,0
Zfp180,2739,1360,1126,505,1486,615,941,868
Zfp112,108,46,49,39,70,23,48,45
Zfp111,254,152,124,73,129,75,120,132
Zfp61,267,153,138,69,217,176,180,94
Zfp94,128,67,60,31,59,24,54,57
Tescl,1,0,0,0,0,0,0,0
Lypd5,0,0,0,0,0,0,0,0
Kcnn4,28,14,8,4,11,5,12,7
Smg9,126,61,66,31,60,29,29,60
Irgc,0,1,0,0,0,0,1,0
Plaur,130,105,30,37,66,38,41,41
Cadm4,0,0,0,1,1,0,1,0
Zfp428,29,21,18,8,26,10,12,21
Irgq,349,202,200,121,282,110,229,160
Pinlyp,79,53,52,16,64,29,82,41
Xrcc1,844,393,362,243,428,208,266,336
Zfp575,3,0,0,0,0,1,0,0
Ethe1,1014,579,556,277,669,310,586,500
Phldb3,11,10,3,4,10,1,2,4
Lypd3,11,4,5,6,7,1,7,3
Tex101,0,0,0,0,0,0,0,0
RGD1564380,0,0,0,0,0,0,0,0
RGD1565655,0,0,0,0,0,0,0,0
Ceacam10,0,0,0,0,0,0,0,0
Lypd4,0,0,0,0,0,0,0,0
Rps19,0,1,0,0,0,0,0,0
Arhgef1,466,249,185,132,221,105,177,170
Rabac1,3074,2020,1951,1004,2131,1100,2254,1535
Atp1a3,4,0,1,0,0,3,1,0
Grik5,9,16,11,3,4,3,5,5
Zfp574,262,141,131,85,175,56,99,128
Pou2f2,12,5,2,4,4,2,2,6
Gsk3a,127,83,50,33,68,28,70,67
Erf,9,10,3,5,13,1,3,3
Cic,124,83,77,35,68,35,70,50
Pafah1b3,20,9,10,5,4,2,12,14
Prr19,0,0,0,0,0,0,0,0
Cnfn,2,0,2,0,0,0,0,1
Lipe,279,169,123,88,200,114,89,134
Cxcl17,19,9,5,5,14,5,8,11
Ceacam1,85,50,58,26,82,45,31,32
LOC685046,7,2,1,2,2,1,3,5
Atp5sl,1812,1071,889,565,1022,504,834,616
B3gnt8,64,25,19,17,19,11,24,11
Bckdha,4839,3010,2765,1507,2986,1199,2042,2497
Exosc5,749,413,331,200,441,180,275,319
B9d2,127,74,57,60,72,32,68,51
Tgfb1,14,5,7,5,11,3,7,6
Ccdc97,560,365,317,188,381,149,340,293
Hnrnpul1,1165,647,570,352,634,337,537,513
Axl,361,198,132,106,218,121,123,145
Cyp2s1,13,7,10,3,17,5,6,5
Cd177,0,0,0,0,0,0,0,0
Cyp2b2,0,0,0,0,0,0,0,0
Cyp2b3,0,0,0,0,0,0,0,0
Cyp2b21,1,0,0,0,0,0,0,0
Cyp2b12,0,0,0,0,0,0,0,0
Cyp2g1,0,0,0,0,0,0,0,0
Cyp2a3,6,0,0,0,0,0,1,0
Cyp2a1,0,0,0,1,0,0,0,0
Cyp2a2,0,0,0,0,0,0,0,0
Cyp2f4,3,2,1,1,2,2,1,0
Cyp2t1,138,75,90,56,82,35,68,44
Egln2,692,364,291,202,389,143,276,261
Rab4b,293,138,95,81,147,70,128,82
Mia,6,4,1,0,3,0,1,1
Snrpa,303,188,172,109,193,97,184,165
Itpkc,95,45,41,27,49,15,46,41
Adck4,221,118,84,69,89,45,75,108
Numbl,14,8,1,7,8,4,2,5
Ltbp4,1837,1014,790,710,990,521,759,691
Shkbp1,76,34,20,20,22,21,20,15
Sptbn4,0,1,0,1,1,0,0,1
Blvrb,604,367,355,178,480,203,463,366
Sertad3,242,104,89,64,141,61,92,89
Sertad1,738,413,380,238,455,218,421,265
Prx,62,36,19,16,43,14,26,24
Hipk4,38,30,22,19,28,11,19,23
Pld3,307,217,201,122,238,72,201,184
RGD1307554,2171,1508,1203,891,1534,655,1362,1122
Akt2,1895,1148,703,532,1030,399,682,837
Ttc9b,0,1,0,0,0,0,0,1
Map3k10,149,80,51,35,69,25,51,55
Marcksl1,2,1,0,0,0,0,0,0
Psmc4,4838,3142,2827,1586,3278,1749,3338,2480
Fcgbp,9,0,2,0,4,1,0,2
Fcgbpl1,6,0,3,1,3,1,1,1
Fbl,186,103,103,65,123,48,132,95
Dyrk1b,301,156,138,114,179,80,111,143
Pak4,104,66,40,21,80,37,62,46
Nccrp1,0,0,0,0,0,0,0,0
Sycn,0,0,0,0,0,0,0,0
Lrfn1,0,1,0,0,1,0,0,0
Gmfg,181,48,42,22,47,47,62,47
Samd4b,432,235,163,149,274,116,193,180
Paf1,1305,717,659,422,734,367,545,523
Med29,403,207,218,171,261,167,289,199
Zfp36,1446,676,384,344,481,216,501,388
Plekhg2,63,33,26,20,46,13,24,25
Rps16,1598,1165,874,569,1051,695,1171,862
Supt5h,1534,915,794,452,949,386,646,707
Dll3,0,0,0,0,0,0,0,0
Selv,1,0,0,0,2,0,1,0
